id_EXIST,lang,tweet,number_annotators,annotators,gender_annotators,age_annotators,ethnicities_annotators,study_levels_annotators,countries_annotators,labels_task1_1,labels_task1_2,labels_task1_3,split,cleaned_text,translated_text
100011,es,"@Lorebrou16 @arrobaDonko Mierda, me siento vieja cuando decís Gamergate, que bardo .__.XD",6,"['Annotator_37', 'Annotator_38', 'Annotator_39', 'Annotator_40', 'Annotator_41', 'Annotator_42']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree', 'other', 'Bachelor’s degree']","['United States', 'Mexico', 'Venezuela', 'Spain', 'Spain', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,"mierda, me siento vieja cuando decís gamergate, que bardo ..xd","Shit, I feel old when you say gamergate, what bardo..xd"
100012,es,"@Recuenco @qlopdopis Bannon tiene también historia.Aquí hablan de él, buen podcast, #16 - los ganadores de Gamergate https://t.co/nnfOHYhbrw",6,"['Annotator_43', 'Annotator_44', 'Annotator_45', 'Annotator_46', 'Annotator_47', 'Annotator_48']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Spain', 'Portugal', 'United Kingdom', 'Spain', 'Portugal']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,"bannon tiene también historia.aquí hablan de él, buen podcast, 16 los ganadores de gamergate","Bannon also has history. here they talk about him, good podcast, 16 gamergate winners"
100013,es,"Me perdí la charada sicotica del #Gamergate (bueno, no tanto, gracias a @FeelAndCoffee 😊), pero no me perderé ésta. https://t.co/Lrro0HNR4z",6,"['Annotator_43', 'Annotator_44', 'Annotator_45', 'Annotator_46', 'Annotator_47', 'Annotator_48']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Spain', 'Portugal', 'United Kingdom', 'Spain', 'Portugal']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,"me perdí la charada sicotica del gamergate bueno, no tanto, gracias a , pero no me perderé ésta.","I missed the psychotic charade of the gamergate well, not so much, thanks to, but I won't miss this one."
100014,es,"«Hasta ese momento la izquierda, mucho más politizada, por su carácter absolutizador, y mejor organizada, tenía el monopolio del control en las redes»🖊️ Alejandro Cuevashttps://t.co/DbozWF17Nj",6,"['Annotator_43', 'Annotator_44', 'Annotator_45', 'Annotator_46', 'Annotator_47', 'Annotator_48']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Spain', 'Portugal', 'United Kingdom', 'Spain', 'Portugal']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']","['-', '-', '-', '-', '-', 'DIRECT']","[['-'], ['-'], ['-'], ['-'], ['-'], ['IDEOLOGICAL-INEQUALITY']]",TRAIN_ES,"hasta ese momento la izquierda, mucho más politizada, por su carácter absolutizador, y mejor organizada, tenía el monopolio del control en las redes alejandro cuevas","Up to that moment the left, much more politicized, because of its absolutizing character, and better organized, had the monopoly of control in the remote caves networks"
100015,es,"¿Y por qué digo que son dogwhistles? Porque esto ya lo hemos vivido una y otra y otra vez en los cómics... Pasó con #ComicsGate en 2017, un hijo bastardo de #GamerGate, el origen oscuro de todos estos niños ratas berrinchudos. Y pues ya chole, ¿no?https://t.co/bZGE6PLiR6",6,"['Annotator_49', 'Annotator_50', 'Annotator_51', 'Annotator_52', 'Annotator_53', 'Annotator_54']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Mexico', 'Mexico', 'Chile', 'Mexico', 'Portugal', 'Spain']","['NO', 'NO', 'YES', 'NO', 'NO', 'NO']","['-', '-', 'REPORTED', '-', '-', '-']","[['-'], ['-'], ['SEXUAL-VIOLENCE'], ['-'], ['-'], ['-']]",TRAIN_ES,"y por qué digo que son dogwhistles? porque esto ya lo hemos vivido una y otra y otra vez en los cómics... pasó con comicsgate en 2017, un hijo bastardo de gamergate, el origen oscuro de todos estos niños ratas berrinchudos. y pues ya chole, no?","And why do I say they're dogwhistles? Because we've already lived this over and over and over again in the comics... it happened with comicsgate in 2017, a gamergate bastard son, the dark origin of all these tantrum rat children. And then chole, right?"
100016,es,"@razrainy cuando te toque experimentar algo similar al GamerGate, veremos si mantienes la misma postura de hoy, juas juas juas https://t.co/tvqOr5eeq5",6,"['Annotator_55', 'Annotator_56', 'Annotator_57', 'Annotator_58', 'Annotator_59', 'Annotator_60']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Spain', 'United States', 'Spain', 'Belgium', 'France']","['NO', 'NO', 'YES', 'YES', 'NO', 'NO']","['-', '-', 'REPORTED', 'DIRECT', '-', '-']","[['-'], ['-'], ['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['STEREOTYPING-DOMINANCE'], ['-'], ['-']]",TRAIN_ES,"cuando te toque experimentar algo similar al gamergate, veremos si mantienes la misma postura de hoy, juas juas juas","When it comes to experiencing something similar to the gamergate, we'll see if you maintain the same posture today, juas juas juas"
100017,es,La que se levanto sin miedo al exito fue la rata Nro 1 de Rust.... @Geitta_https://t.co/EzXndDepQE#Rust #gamergirls #GAMERGATE https://t.co/dxuolLmtu3,6,"['Annotator_61', 'Annotator_62', 'Annotator_63', 'Annotator_64', 'Annotator_65', 'Annotator_66']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree']","['Mexico', 'Mexico', 'Mexico', 'United States', 'Portugal', 'Spain']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']","['-', '-', '-', '-', '-', 'DIRECT']","[['-'], ['-'], ['-'], ['-'], ['-'], ['OBJECTIFICATION']]",TRAIN_ES,la que se levanto sin miedo al exito fue la rata nro 1 de rust.... gamergirls gamergate,The one who rose without fear of success was rat number 1 of rust... gamergirls gamergate
100018,es,"@darkthanos gamergate causo esto, gamergate causo esto otro, gamergate mato a esta persona, gamergate gamergate gamergate. Putoooos reporteros de mieerdaaa",6,"['Annotator_67', 'Annotator_68', 'Annotator_69', 'Annotator_70', 'Annotator_71', 'Annotator_72']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Spain', 'Spain', 'Dominican Republic', 'Portugal', 'Italy', 'Spain']","['NO', 'NO', 'NO', 'NO', 'YES', 'NO']","['-', '-', '-', '-', 'DIRECT', '-']","[['-'], ['-'], ['-'], ['-'], ['IDEOLOGICAL-INEQUALITY', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['-']]",TRAIN_ES,"gamergate causo esto, gamergate causo esto otro, gamergate mato a esta persona, gamergate gamergate gamergate. putoooos reporteros de mieerdaaa","gamergate caused this, gamergate caused this another, gamergate killed this person, gamergate gamergate."
100019,es,@BrunoLouviers en 2014 empezó gamergate así que igual mejor no,6,"['Annotator_73', 'Annotator_74', 'Annotator_75', 'Annotator_76', 'Annotator_77', 'Annotator_78']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Portugal', 'Mexico', 'Mexico', 'Spain', 'Portugal', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,en 2014 empezó gamergate así que igual mejor no,"In 2014 started gambling, so maybe not."
100020,es,Los mejores 100 #videojuegos de la #Historia 😀😀😀😀 #gamers #GamerGate https://t.co/r6KoQwNiwh,6,"['Annotator_79', 'Annotator_80', 'Annotator_81', 'Annotator_82', 'Annotator_83', 'Annotator_84']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Peru', 'Spain', 'Peru', 'Italy', 'Spain', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,los mejores 100 videojuegos de la historia gamers gamergate,the best 100 video games in history gamers gamergate
100021,es,The gays despues de escuchar babylon house labs cuando they HARASSED GAGA pa que lo saque https://t.co/2GrTPQXsiZ,6,"['Annotator_85', 'Annotator_86', 'Annotator_87', 'Annotator_88', 'Annotator_89', 'Annotator_90']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Less than high school diploma', 'Bachelor’s degree', 'High school degree or equivalent']","['Mexico', 'Mexico', 'Cuba', 'United Kingdom', 'Spain', 'Portugal']","['NO', 'NO', 'NO', 'YES', 'NO', 'YES']","['-', '-', '-', 'DIRECT', '-', 'DIRECT']","[['-'], ['-'], ['-'], ['IDEOLOGICAL-INEQUALITY'], ['-'], ['STEREOTYPING-DOMINANCE']]",TRAIN_ES,the gays despues de escuchar babylon house labs cuando they harassed gaga pa que lo saque,the gays after listening to babylon house labs when they harassed gaga pa get it out
100022,es,@RayAshla @TheNifel ¿Te refieres a algo así?https://t.co/5crHYgxA0g,6,"['Annotator_1', 'Annotator_2', 'Annotator_3', 'Annotator_4', 'Annotator_5', 'Annotator_6']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'Master’s degree', 'Master’s degree', 'High school degree or equivalent']","['Italy', 'Mexico', 'United States', 'Spain', 'Spain', 'Chile']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,te refieres a algo así?,You mean something like that?
